2024-02-12 15:05:46.375 [dw-42 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 7.8 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:3.35866E-4s; , algoInit:33 μs, dijkstrabi|ch-routing:2 ms, path extraction: 468 μs, visited nodes sum: 338
2024-02-12 15:05:46.437 [dw-35 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 68.8 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:3.00178E-4s; ; ; 
2024-02-12 15:05:54.690 [dw-55 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 7.1 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:3.71975E-4s; , algoInit:36 μs, dijkstrabi|ch-routing:1 ms, path extraction: 464 μs, visited nodes sum: 338
2024-02-12 15:05:54.808 [dw-41 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 116.8 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:5.588E-4s; ; ; 
2024-02-12 15:06:09.802 [dw-41 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 12.6 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:5.72699E-4s; , algoInit:41 μs, dijkstrabi|ch-routing:3 ms, path extraction: 790 μs, visited nodes sum: 338
2024-02-12 15:06:09.853 [dw-35 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 63.9 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:4.65283E-4s; ; ; 
2024-02-12 15:18:09.140 [dw-56 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 14.7 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:5.984E-4s; , algoInit:51 μs, dijkstrabi|ch-routing:3 ms, path extraction: 848 μs, visited nodes sum: 338
2024-02-12 15:18:09.200 [dw-54 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 74.9 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:6.09435E-4s; ; ; 
2024-02-12 15:18:12.636 [dw-42 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 11.9 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:5.37638E-4s; , algoInit:46 μs, dijkstrabi|ch-routing:3 ms, path extraction: 748 μs, visited nodes sum: 338
2024-02-12 15:18:12.719 [dw-38 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 93.2 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:3.53886E-4s; ; ; 
2024-02-12 15:18:14.854 [dw-57 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 10.9 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:3.74E-4s; , algoInit:34 μs, dijkstrabi|ch-routing:2 ms, path extraction: 558 μs, visited nodes sum: 338
2024-02-12 15:18:14.931 [dw-54 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 89.7 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:3.37612E-4s; ; ; 
2024-02-12 15:18:16.622 [dw-42 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 9.8 ms, algo: , profile: car, custom_model: null, alternatives: 1, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:3.09676E-4s; , algoInit:33 μs, dijkstrabi|ch-routing:2 ms, path extraction: 608 μs, visited nodes sum: 338
2024-02-12 15:18:16.660 [dw-38 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 49.0 ms, algo: alternative_route, profile: car, custom_model: null, alternatives: 3, distance0: 221304.50469756764, weight0: 27201.98361348286, time0: 195min, points0: 2021, debugInfo: idLookup:2.26356E-4s; ; ; 
2024-02-12 15:18:20.786 [dw-57 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 826.2 ms, algo: alternative_route, profile: car, custom_model: distanceInfluence=15.0|headingPenalty=null|speedStatements=[]|priorityStatements=[{"if": "road_environment == FERRY", "multiply_by": 0.9}]|areas=[], alternatives: 3, distance0: 270202.9946975677, weight0: 14511.934691834806, time0: 174min, points0: 1852, debugInfo: idLookup:8.55137E-4s; ; ; 
2024-02-12 15:18:20.803 [dw-54 - POST /route?key=] INFO  c.g.resources.RouteResource - [0:0:0:0:0:0:0:1] en_US Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/116.0.0.0 Safari/537.36 2, took: 807.5 ms, algo: alternative_route, profile: car, custom_model: distanceInfluence=15.0|headingPenalty=null|speedStatements=[]|priorityStatements=[{"if": "road_environment == FERRY", "multiply_by": 0.9}]|areas=[], alternatives: 3, distance0: 270202.9946975677, weight0: 14511.934691834806, time0: 174min, points0: 1852, debugInfo: idLookup:0.002450661s; ; ; 
